﻿Type dépense;Mission;Numéro programme;Programme;Code action (si crédit budgétaire);Action (si crédit budgétaire);Affectataire (si taxe affectée);Impôt (si dépense fiscale);Code dépense;Libellé;Atténuation climat;Adaptation climat;Eau;Déchets;Pollutions;Biodiversité;Cotation globale;% 2024 (si différent de 100);% 2025 (si différent de 100);% 2026 (si différent de 100);Catégorie générale;"Exécution 2024
(CP)";"LFI 2025
(CP)
(ou prévision 2025 si dépense fiscale)";"PLF 2026
(CP)
(ou prévision 2026 si dépense fiscale)";"Dépenses fiscales : "" ε "" montant inférieur à 0,5 M€, "" nc "" montant non calculé en prévision 2026"
Crédits budgétaires;Défense;178;Préparation et emploi des forces;178-04;Préparation des forces aériennes;;;178-04-09;Service industriel aéronautique (SIAé);0;0;0;0;0;0;Neutre;;;;Régalien;138936.64;;;
Crédits budgétaires;Défense;178;Préparation et emploi des forces;178-05;Logistique et soutien interarmées;;;178-05-82;Soutien des forces par les bases de défense;;;;;;;NC;;;;Non coté - autres;1357833895.6999998;1154858331.0;1266605866.0;
Crédits budgétaires;Écologie, développement et mobilité durables;181;Prévention des risques;181-11;Gestion de l'après-mine et travaux de mise en sécurité, indemnisations et expropriations sur les sites;;;181-11;Gestion de l'après-mine et travaux de mise en sécurité, indemnisations et expropriations sur les sites;0;0;0;0;2;0;Favorable;;;;Autres;45361526.91;42389976.0;42389976.0;
Crédits budgétaires;Écologie, développement et mobilité durables;181;Prévention des risques;181-15;Fonds de prévention des risques naturels majeurs;;;181-15;Retrait Gonflement des Argiles;0;3;2;0;2;2;Favorable;;;;Autres;;15000000.0;15000000.0;
Crédits budgétaires;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;185-08;Appui au réseau culturel et de coopération;;;185-08;Appui au réseau culturel et de coopération;0;0;0;0;0;0;Neutre;;;;Neutre - autres;;;103445956.0;
Crédits budgétaires;Régimes sociaux et de retraite;198;Régimes sociaux et de retraite des transports terrestres;198-04;Régime de retraite du personnel de la RATP;;;198-04;Régime de retraite du personnel de la RATP;0;0;0;0;0;0;Neutre;;;;Pensions;874750000.0;890713735.0;885633671.0;
Crédits budgétaires;Défense;212;Soutien de la politique de la défense;212-54;"Planification des moyens et conduite des opérations - Personnel travaillant  pour le programme ""Préparation et emploi des forces""";;;212-54-05;EMA / Relations internationales militaires / PPE;0;0;0;0;0;0;Neutre;;;;Régalien;159044940.56;161372939.0;170896648.0;
Crédits budgétaires;Défense;212;Soutien de la politique de la défense;212-60;"Politique immobilière - Personnel travaillant pour l'action ""Politique immobilière""";;;212-60;"Politique immobilière - Personnel travaillant pour l'action ""Politique immobilière""";0;0;0;0;0;0;Neutre;;;;Régalien;492921855.77000004;505784654.0;507498362.0;
Crédits budgétaires;Écologie, développement et mobilité durables;345;Service public de l'énergie;345-09;Soutien aux énergies renouvelables électriques en métropole continentale;;;345-09-03;Métropole continentale - Solaire photovoltaïque sur toiture;3;2;0;2;2;3;Favorable;;;;Énergie;457033167.7876574;2766083840.000887;4141002640.694186;
Crédits budgétaires;Écologie, développement et mobilité durables;345;Service public de l'énergie;345-17;Mesures exceptionnelles de protection des consommateurs;;;345-17;Mesures exceptionnelles de protection des consommateurs;-1;0;0;0;-1;0;Défavorable;;;;Énergie;681404116.5;336582215.0;33467664.0;
